Sample	Cancer type	DITHER score	mDITHER score	cDITHER score
TCGA-OR-A5J1-01A	ACC	2.950495618	3.047611187	2.85338005
TCGA-OR-A5J2-01A	ACC	3.227147241	3.688610097	2.765684386
TCGA-OR-A5J3-01A	ACC	2.856460436	3.197159723	2.515761149
TCGA-OR-A5J4-01A	ACC	3.133460774	3.490753171	2.776168377
TCGA-OR-A5J5-01A	ACC	3.423865273	4.043836472	2.803894075
TCGA-OR-A5J6-01A	ACC	2.556574796	2.527096684	2.586052907
TCGA-OR-A5J7-01A	ACC	2.97086629	3.310820587	2.630911993
TCGA-OR-A5J8-01A	ACC	2.789601028	3.292329478	2.286872579
TCGA-OR-A5J9-01A	ACC	3.119856761	3.327999746	2.911713776
TCGA-OR-A5JA-01A	ACC	3.069091906	3.39271165	2.745472161
TCGA-OR-A5JB-01A	ACC	2.775957232	3.454734984	2.097179481
TCGA-OR-A5JC-01A	ACC	2.956670381	3.240666779	2.672673983
TCGA-OR-A5JD-01A	ACC	2.650829273	3.328414554	1.973243992
TCGA-OR-A5JE-01A	ACC	2.411833452	2.449122947	2.374543956
TCGA-OR-A5JF-01A	ACC	3.210504043	3.633229597	2.787778489
TCGA-OR-A5JG-01A	ACC	3.223776593	3.77507052	2.672482665
TCGA-OR-A5JH-01A	ACC	2.000551111	2.049452073	1.95165015
TCGA-OR-A5JI-01A	ACC	2.675483554	2.284159128	3.066807981
TCGA-OR-A5JJ-01A	ACC	2.954862138	3.413088436	2.496635841
TCGA-OR-A5JK-01A	ACC	3.167927742	3.543289445	2.792566039
TCGA-OR-A5JL-01A	ACC	2.629979007	2.977217001	2.282741012
TCGA-OR-A5JM-01A	ACC	2.924128563	3.104109001	2.744148125
TCGA-OR-A5JO-01A	ACC	2.21524617	2.423794941	2.0066974
TCGA-OR-A5JP-01A	ACC	2.989642805	3.184359981	2.79492563
TCGA-OR-A5JQ-01A	ACC	2.263828686	2.160964047	2.366693325
TCGA-OR-A5JR-01A	ACC	2.215502108	1.921928095	2.509076122
TCGA-OR-A5JS-01A	ACC	3.344226548	3.617327304	3.071125792
TCGA-OR-A5JT-01A	ACC	2.898243376	3.40421046	2.392276292
TCGA-OR-A5JU-01A	ACC	1.717861297	1.60385619	1.831866404
TCGA-OR-A5JV-01A	ACC	2.614002191	2.730434445	2.497569937
TCGA-OR-A5JW-01A	ACC	3.068223161	3.429741775	2.706704547
TCGA-OR-A5JX-01A	ACC	3.031888179	3.433311688	2.63046467
TCGA-OR-A5JY-01A	ACC	3.261025157	3.496478169	3.025572145
TCGA-OR-A5JZ-01A	ACC	2.464379939	3.006060325	1.922699552
TCGA-OR-A5K0-01A	ACC	2.647663144	3.403619947	1.891706341
TCGA-OR-A5K1-01A	ACC	2.285621571	2.608458593	1.962784549
TCGA-OR-A5K2-01A	ACC	2.854620645	3.068868141	2.640373149
TCGA-OR-A5K3-01A	ACC	2.527864482	2.905684997	2.150043967
TCGA-OR-A5K4-01A	ACC	2.919388661	3.661829022	2.1769483
TCGA-OR-A5K5-01A	ACC	2.755327712	3.00224234	2.508413084
TCGA-OR-A5K6-01A	ACC	3.030948397	3.608512968	2.453383826
TCGA-OR-A5K8-01A	ACC	2.871287332	3.478345968	2.264228697
TCGA-OR-A5K9-01A	ACC	3.367761821	3.62867789	3.106845753
TCGA-OR-A5KB-01A	ACC	3.169290076	3.57511046	2.763469693
TCGA-OR-A5KO-01A	ACC	2.74994076	3.360526501	2.139355019
TCGA-OR-A5KP-01A	ACC	2.531536268	2.617703868	2.445368667
TCGA-OR-A5KQ-01A	ACC	2.054055385	2.418295834	1.689814937
TCGA-OR-A5KS-01A	ACC	3.249905075	3.41366069	3.08614946
TCGA-OR-A5KT-01A	ACC	2.96487054	2.833571982	3.096169098
TCGA-OR-A5KU-01A	ACC	3.318150165	3.566468891	3.069831439
TCGA-OR-A5KV-01A	ACC	3.128547877	3.083074189	3.174021565
TCGA-OR-A5KW-01A	ACC	3.044237494	3.483491847	2.604983141
TCGA-OR-A5KX-01A	ACC	3.525203019	3.56065125	3.489754787
TCGA-OR-A5KY-01A	ACC	2.965873479	3.393542397	2.538204561
TCGA-OR-A5KZ-01A	ACC	3.093768411	3.484274621	2.703262201
TCGA-OR-A5L1-01A	ACC	2.835199885	3.234697003	2.435702768
TCGA-OR-A5L2-01A	ACC	2.981605767	3.23127849	2.731933045
TCGA-OR-A5L3-01A	ACC	2.008819103	2.260621881	1.757016325
TCGA-OR-A5L4-01A	ACC	3.154969734	3.565448372	2.744491096
TCGA-OR-A5L5-01A	ACC	2.471512751	2.688721876	2.254303627
TCGA-OR-A5L6-01A	ACC	3.228234994	3.308124832	3.148345157
TCGA-OR-A5L8-01A	ACC	2.586763857	2.412136045	2.761391668
TCGA-OR-A5L9-01A	ACC	2.260782455	2.170950594	2.350614316
TCGA-OR-A5LA-01A	ACC	2.181235793	2.599581231	1.762890356
TCGA-OR-A5LB-01A	ACC	3.081425702	3.819611816	2.343239589
TCGA-OR-A5LC-01A	ACC	3.170736671	3.361273655	2.980199686
TCGA-OR-A5LD-01A	ACC	3.029302906	2.942250125	3.116355687
TCGA-OR-A5LE-01A	ACC	2.639259419	3.005123044	2.273395793
TCGA-OR-A5LF-01A	ACC	2.891695915	3.078549542	2.704842288
TCGA-OR-A5LG-01A	ACC	2.988275949	3.453235913	2.523315986
TCGA-OR-A5LH-01A	ACC	2.637895295	3.251629167	2.024161422
TCGA-OR-A5LI-01A	ACC	2.729999516	3.072749969	2.387249063
TCGA-OR-A5LJ-01A	ACC	3.15563787	3.956546828	2.354728912
TCGA-OR-A5LK-01A	ACC	2.584704756	2.946858327	2.222551184
TCGA-OR-A5LL-01A	ACC	3.399795815	3.226408491	3.573183139
TCGA-OR-A5LM-01A	ACC	2.97428582	2.84605056	3.10252108
TCGA-OR-A5LN-01A	ACC	2.50008938	2.463366343	2.536812418
TCGA-OR-A5LO-01A	ACC	3.1623727	3.577109543	2.747635858
TCGA-OR-A5LP-01A	ACC	2.640150452	3.463280518	1.817020386
TCGA-OR-A5LR-01A	ACC	2.688069586	3.324862958	2.051276215
TCGA-OR-A5LS-01A	ACC	2.932291078	3.326360408	2.538221747
TCGA-OR-A5LT-01A	ACC	3.461489824	3.426616046	3.496363602
TCGA-OU-A5PI-01A	ACC	2.918275463	3.40291008	2.433640846
TCGA-P6-A5OG-01A	ACC	2.572038663	2.785642456	2.35843487
TCGA-P6-A5OH-01A	ACC	2.727208368	2.807910582	2.646506155
TCGA-PA-A5YG-01A	ACC	2.341846666	2.725480557	1.958212774
TCGA-PK-A5H9-01A	ACC	2.386972603	2.594117892	2.179827314
TCGA-PK-A5HA-01A	ACC	3.11885871	3.651165816	2.586551604
TCGA-PK-A5HB-01A	ACC	2.741450445	3.413621432	2.069279459
TCGA-PK-A5HC-01A	ACC	2.758472962	3.208492516	2.308453408
TCGA-2F-A9KO-01A	BLCA	2.573404342	2.830604311	2.316204373
TCGA-2F-A9KP-01A	BLCA	3.103587388	3.710314408	2.496860367
TCGA-2F-A9KQ-01A	BLCA	2.631310085	3.340483144	1.922137027
TCGA-2F-A9KR-01A	BLCA	2.867401316	3.72837274	2.006429893
TCGA-2F-A9KT-01A	BLCA	2.894421542	3.096135195	2.69270789
TCGA-2F-A9KW-01A	BLCA	2.912476327	3.134755997	2.690196657
TCGA-4Z-AA7M-01A	BLCA	3.319012875	3.585043461	3.052982289
TCGA-4Z-AA7N-01A	BLCA	1.383603309	1.023899573	1.743307045
TCGA-4Z-AA7O-01A	BLCA	2.657191491	3.398706208	1.915676775
TCGA-4Z-AA7Q-01A	BLCA	2.431232507	2.677447771	2.185017242
TCGA-4Z-AA7R-01A	BLCA	3.602706326	3.977374994	3.228037659
TCGA-4Z-AA7S-01A	BLCA	2.615525787	2.560846101	2.670205472
TCGA-4Z-AA7W-01A	BLCA	2.57257068	2.875524221	2.26961714
TCGA-4Z-AA7Y-01A	BLCA	2.75353398	3.288477181	2.218590779
TCGA-4Z-AA80-01A	BLCA	3.012139077	3.315622297	2.708655858
TCGA-4Z-AA81-01A	BLCA	2.999736246	3.185152133	2.814320359
TCGA-4Z-AA82-01A	BLCA	2.826897821	3.246534913	2.407260729
TCGA-4Z-AA83-01A	BLCA	2.963912246	3.382669382	2.545155111
TCGA-4Z-AA84-01A	BLCA	3.174788785	3.683963423	2.665614148
TCGA-4Z-AA86-01A	BLCA	2.583780902	2.782427505	2.385134299
TCGA-4Z-AA87-01A	BLCA	3.318868452	3.717720928	2.920015977
TCGA-4Z-AA89-01A	BLCA	2.919196353	3.348923524	2.489469182
TCGA-5N-A9KI-01A	BLCA	3.070945932	3.42169085	2.720201013
TCGA-5N-A9KM-01A	BLCA	2.923342258	3.210328835	2.636355681
TCGA-BL-A0C8-01A	BLCA	3.124389508	3.405895659	2.842883357
TCGA-BL-A13I-01A	BLCA	2.274597304	2.487517878	2.06167673
TCGA-BL-A13J-01A	BLCA	3.167273956	3.297930792	3.036617121
TCGA-BL-A3JM-01A	BLCA	2.941157614	3.571970863	2.310344366
TCGA-BL-A5ZZ-01A	BLCA	2.584871456	2.85199823	2.317744682
TCGA-BT-A0S7-01A	BLCA	2.880942293	3.27786273	2.484021857
TCGA-BT-A0YX-01A	BLCA	2.552866511	2.457702887	2.648030134
TCGA-BT-A20J-01A	BLCA	2.839814826	3.083806161	2.595823492
TCGA-BT-A20N-01A	BLCA	3.204455527	3.589557434	2.819353619
TCGA-BT-A20O-01A	BLCA	1.830482284	1.875122106	1.785842462
TCGA-BT-A20P-01A	BLCA	3.035429465	3.517431573	2.553427358
TCGA-BT-A20Q-01A	BLCA	3.1258574	3.004020067	3.247694733
TCGA-BT-A20R-01A	BLCA	2.689046092	3.074421006	2.303671178
TCGA-BT-A20T-01A	BLCA	3.043676213	3.406919251	2.680433176
TCGA-BT-A20U-01A	BLCA	2.46520395	2.705926638	2.224481262
TCGA-BT-A20V-01A	BLCA	3.278668253	3.35232382	3.205012686
TCGA-BT-A20W-01A	BLCA	2.294454006	2.07128655	2.517621463
TCGA-BT-A20X-01A	BLCA	2.410018575	2.839915747	1.980121403
TCGA-BT-A2LA-01A	BLCA	3.423349841	3.95926906	2.887430623
TCGA-BT-A2LB-01A	BLCA	2.941268313	3.470667421	2.411869205
TCGA-BT-A2LD-01A	BLCA	2.786944833	2.765156897	2.808732768
TCGA-BT-A3PH-01A	BLCA	3.111176475	3.647549823	2.574803127
TCGA-BT-A3PJ-01A	BLCA	3.115645375	3.447413686	2.783877065
TCGA-BT-A3PK-01A	BLCA	2.135697318	2.312052232	1.959342405
TCGA-BT-A42B-01A	BLCA	2.988633214	3.406763309	2.570503118
TCGA-BT-A42C-01A	BLCA	3.056128804	3.503377787	2.608879821
TCGA-BT-A42E-01A	BLCA	3.22282341	3.538538158	2.907108662
TCGA-BT-A42F-01A	BLCA	1.820964933	2.009882263	1.632047603
TCGA-C4-A0EZ-01A	BLCA	3.239617861	3.705103689	2.774132032
TCGA-C4-A0F0-01A	BLCA	3.211299957	3.703002002	2.719597912
TCGA-C4-A0F1-01A	BLCA	2.939576187	2.908485292	2.970667081
TCGA-C4-A0F6-01A	BLCA	3.192239583	3.535329511	2.849149654
