Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-3M-AB46-01	1	3301765	9044406	3568	0.3121
TCGA-3M-AB46-01	1	9052602	18117498	4536	0.7273
TCGA-3M-AB46-01	1	18117515	24136626	3505	0.2925
TCGA-3M-AB46-01	1	24138215	31576149	3612	-0.26
TCGA-3M-AB46-01	1	31583793	36327505	2425	0.3001
TCGA-3M-AB46-01	1	36349840	46625477	5530	0.0586
TCGA-3M-AB46-01	1	46629843	49005065	1536	0.1291
TCGA-3M-AB46-01	1	49005094	54321736	2550	0.062
TCGA-3M-AB46-01	1	54323255	65706287	8196	0.1131
TCGA-3M-AB46-01	1	65706323	119984772	32545	0.0722
TCGA-3M-AB46-01	1	146716041	151633929	638	0.3846
TCGA-3M-AB46-01	1	151638995	151789389	75	0.5395
TCGA-3M-AB46-01	1	151789632	162003620	5695	0.4481
TCGA-3M-AB46-01	1	162005491	186648585	16413	0.4966
TCGA-3M-AB46-01	1	186649977	197113078	6082	0.3664
TCGA-3M-AB46-01	1	197116980	214373176	11266	0.0602
TCGA-3M-AB46-01	1	214374595	224867986	6890	0.3988
TCGA-3M-AB46-01	1	224871175	241848232	11501	0.4733
TCGA-3M-AB46-01	1	241848731	244458948	1586	0.4132
TCGA-3M-AB46-01	1	244462758	247650984	1323	0.4956
TCGA-3M-AB46-01	2	480597	58023582	34099	0.0737
TCGA-3M-AB46-01	2	58024650	58135279	59	0.4514
TCGA-3M-AB46-01	2	58139475	61692780	2152	0.0686
TCGA-3M-AB46-01	2	61697938	67692765	3525	0.1042
TCGA-3M-AB46-01	2	67692877	99058234	12270	0.0586
TCGA-3M-AB46-01	2	99061744	119246066	10867	-0.5489
TCGA-3M-AB46-01	2	119246204	122712772	2037	0.0895
TCGA-3M-AB46-01	2	122714543	122726345	2	-1.6436
TCGA-3M-AB46-01	2	122726355	132737132	4165	0.0647
TCGA-3M-AB46-01	2	132739768	132988435	185	-0.2346
